Привет из северной столицы России — Санкт-Петербурга!|Greetings from the Northern capital of Russia — Saint Petersburg!
Жители северных стран пьют много кофе.|People living in the Northern countries drink a lot of coffee.
Северная Корея — очень закрытая страна.|North Korea is a very closed country.
Ты сегодня такой весёлый. У тебя какой-то праздник?|You’re so happy today. Is there a special occasion?
Мне здесь совсем не весело. Пойдём домой!|It's no fun here at all. Let’s go home!
Моя собака всегда весёлая и энергичная.|My dog is always happy and energetic.
Жёлтые листья падают с деревьев.|Yellow leaves are falling from the trees.
Мне нравится твой жёлтый свитер.|I like your yellow sweater.
Я ищу юбку с жёлтыми полосками.|I am looking for a skirt with yellow stripes.
Не забудь сумку! Там наши паспорта.|Don’t forget the bag! Our passports are there.
Я не выхожу из дома без сумки.|I don't leave the house without my purse.
Я не могу найти ключи в сумке.|I can’t find the keys in the bag.
В этом салате мало соли, нужно добавить.|There's not enough salt in this salad, we need to add more.
Передай мне, пожалуйста, соль.|Pass me the salt, please.
В этой воде много солей магния.|This water contains a lot of magnesium salts.
С какого вокзала ты уезжаешь?|Which train station do you depart from?
Я провёл ночь на вокзале — ждал поезд в Мурманск.|I spent the night at the train station — I was waiting for the train to Murmansk.
Вася поехал на вокзал встречать своих друзей.|Vasya has gone to the train station to pick up his friends.
Откуда у Пети деньги? Он же бедный студент.|Where does Petya get money from? He’s a poor student.
Бедная девочка! Выздоравливай скорее!|Poor girl! Get well soon!
Дети из бедных семей получат бесплатные обеды в школе.|Children from poor families will get free lunches at school.
Кто ты по специальности?|What’s your profession?
Моя специальность — переводчик, но я работаю фотографом.|I’m an interpreter by profession, but I work as a photographer.
В этом университете учат двадцати специальностям.|They teach 20 specializations in this university.
Мне не нравятся эти серые тучи на небе.|I don't like those grey clouds in the sky.
Серый волк — герой многих русских сказок.|The grey wolf is a character in many Russian fairy-tales.
Видите мужчину в серых штанах? Это мой дядя.|Do you see that man in grey pants? That’s my uncle.
Куда поступают твои одноклассники?|What universities are your classmates are applying to?
Мой брат хочет поступать в МГУ.|My brother wants to apply to Moscow State University.
В этом году он не поступает в университет, а идёт работать.|He’s not applying to the university this year, he’s going to work.
На каком факультете ты учишься?|Which faculty/department of the university do you study at?
Это профессор с моего факультета.|This is a professor from my faculty/department.
Я поступила на факультет лингвистики.|I got accepted into the linguistics department.
Моя внучка любит танцевать.|My granddaughter likes to dance.
Как зовут вашу внучку?|What's your granddaughter’s name?
У моей внучки много талантов.|My granddaughter has many talents.
Каждый месяц он посылает деньги своей семье.|He sends money to his family every month.
Я люблю посылать друзьям открытки из путешествий.|I like to send my friends postcards from my travels.
Сергея всегда посылают на встречи с клиентами.|They always send Sergey to meet with clients.
Я только что вернулась из бассейна.|I just came back from the swimming pool.
Я не люблю плавать в бассейне. Там слишком грязно.|I don't like to swim in the swimming pool. It’s too dirty there.
Рядом с нашим домом открылся новый бассейн.|A new swimming pool has opened next door to us.
Генеральный менеджер сейчас в отпуске. Что ему передать?|The general manager is now on vacation. Should I take a message?
Менеджеры нашей компании собрались на встречу.|The managers of our company gathered for the meeting.
Дайте мне номер менеджера! Я хочу с ним поговорить. |Give me your manager's number! I want to talk to him.
Англичане пьют чай с молоком.|The English drink tea with milk.
Наш сосед — англичанин. Он родился в Лондоне, но вырос в Москве.|Our neighbor is an Englishman. He was born in London but grew up in Moscow.
Ваня похож на англичанина.|Vanya looks like an Englishman.
Мне пора идти. До свидания!|It’s time for me to go. Goodbye!
Я вчера опоздала на свидание.|I was late for my appointment yesterday.
Море сегодня спокойное.|The sea is calm today.
Спокойной ночи! Сладких снов!|Goodnight! Sweet dreams!
День был ветреный и дождливый, а ночь — спокойная и тихая.|The day was windy and rainy but the night was calm and quiet.
Где нам сегодня поужинать? Я хочу пиццу.|Where should we have dinner tonight? I want pizza.
Вчера мы поужинали в итальянском ресторане.|We had dinner at an Italian restaurant yesterday.
Давай поужинаем сегодня вместе?|Shall we have dinner together tonight?
У Марии Петровны пять внуков.|Mariya Petrovna has 5 grandchildren.
Мои внуки часто приезжают ко мне в гости.|My grandchildren visit me often.
Бабушка приготовила внуку котлеты с картошкой.|Grandmother made meatballs with potatoes for her grandson.
Вы живёте в квартире или в общежитии?|Do you live in an apartment or in a student dormitory?
Наше общежитие очень старое.|Our dormitory is very old.
В общежитиях нельзя пить и курить.|It's prohibited to drink alcohol and smoke in the dormitories.
Иностранцы обычно приезжают в Москву или в Санкт-Петербург.|Foreigners usually come to Moscow or Saint Petersburg.
На чемпионат мира по футболу в Россию приехало много иностранцев.|Many foreigners came to Russia for the World Cup.
Директор нашей компании — иностранец. Он приехал из Франции.|The director of our company is a foreigner. He came from France.
Вам нравится жить в России?|Do you like living in Russia?
Он приехал в Россию на неделю и остался навсегда.|He came to Russia for a week and stayed there forever.
В Берлине начались переговоры между Россией и ЕС.|Negotiations between Russia and the EU began in Berlin.
Что у вас есть из горячих блюд?|Which of the main courses do you have?
Она только что вышла из горячей сауны.|She just came out of the hot sauna.
Осторожно! Вода в кружке очень горячая!|Be careful! The water in the cup is very hot!
Я люблю яблочный сок.|I like apple juice.
Он пьёт водку с соком.|He drinks vodka with juice.
Дай мне стакан сока, пожалуйста!|Give me a glass of juice, please!
К этому костюму тебе нужна другая обувь.|You need different shoes for this suit.
У меня нет хорошей зимней обуви.|I don't have good winter shoes.
В углу стоял ящик со старой обувью.|There was a box with old shoes in the corner.
Я не люблю суп без мяса.|I don't like soup without meat.
Я не ем супы летом.|I don't eat soups in the summer.
В этом супе есть картошка?|Are there potatoes in this soup?
Когда ты прилетаешь? Я встречу тебя в аэропорту.|When are you arriving? I’ll pick you up at the airport.
Позвони мне из аэропорта!|Call me from the airport!
Мне пора ехать в аэропорт, а я не могу найти свой паспорт.|It's time for me to go to the airport, but I can’t find my passport.
Катя не ест сыр с плесенью.|Katya doesn't eat blue cheese.
Ты будешь бутерброд с сыром и ветчиной?|Would you like to eat a sandwich with cheese and ham?
Она жить не может без сыра!|She can’t live without cheese!
В России сейчас много юристов и экономистов.|There are a lot of lawyers and economists in Russia now.
Сколько зарабатывают юристы в Москве?|How much do lawyers in Moscow earn?
Мне нужна помощь юриста.|I need help from a lawyer.
Мой сын такой умный!|My son is so smart!
Дельфины — умные животные.|Dolphins are very clever animals.
Я ещё не встречал таких умных студентов.|I have never met such smart students.
Иди есть завтрак!|Come and eat breakfast!
Мы с самого утра без завтрака. Так есть хочется!|We haven’t eaten anything since this morning. We’re so hungry now!
За завтраком он читает новости.|He reads the news during breakfast.
У моей бабушки в деревне живут куры. |My grandma has hens in the village.
Я не ем курицу.|I don't eat chicken.
Эта курица несвежая.|This chicken isn’t fresh.
Мой младший брат любит мультики.|My little brother likes cartoons.
У Коли нет младших братьев или сестёр.|Kolya doesn’t have any younger brothers or sisters.
У моего младшего брата большая коллекция автомобилей.|My younger brother has a big collection of cars.
Передайте этот конверт директору, пожалуйста!|Give this envelope to the director, please!
Он достал письмо из конверта и начал читать.|He took the letter out of the envelope and started to read it.
У вас есть большие конверты?|Do you have large envelopes?
Вот ваша сдача — двадцать три копейки.|Here is your change — 23 kopecks.
Хлеб стоит сорок два рубля шестьдесят копеек.|Bread costs 42 roubles and 60 kopecks.
Он даже копейку не отдаст на благотворительность.|He won’t give even a kopeck to charity.
Мы вчера были на шоколадной фабрике.|Yesterday we visited the chocolate factory.
Эти конфеты — из фабрики рядом с нашим домом.|These candies are from the factory next to our house.
В нашем городе открылась фабрика игрушек.|A toy factory opened in our city.
Спички вы можете купить на кассе.|You can by matches at the cash register.
Старший кассир, подойдите на кассу.|Senior cashier, please come to the cash register.
Грабители забрали из кассы все деньги.|The thieves took all the money from the cash register.
Запишите тему урока в тетрадь.|Write down the topic of the lesson in your notebook.
На экзамене нельзя пользоваться учебниками и тетрадями.|You are not allowed to use textbooks or notebooks during the exam.
Гриша заплакал и вырвал листок из тетради.|Grisha started crying and tore out a page from his notebook.
Раньше к нам каждые выходные приезжали гости.|We used to have guests at our house every weekend.
По выходным к нам приезжают дети и внуки.|On weekends our children and grandchildren come to visit us.
Завтра к нам приезжает дядя из Саратова.|Tomorrow our uncle from Saratov is coming to visit us.
У меня правый глаз голубой, а левый — зелёный.|My right eye is light blue and my left one is green.
Он купил новую голубую рубашку.|He bought new light blue shirt.
Мои комментарии к работе отмечены голубым цветом.|My comments to the paper are marked in light blue.
Мы с друзьями любим петь под гитару.|My friends and I like to sing while playing the guitar.
Он вышел на сцену с гитарой и начал играть.|He came on stage with a guitar and started playing.
Где твоя гитара? Ты хотел спеть нам песню.|Where’s your guitar? You wanted to sing a song for us.
Мама налила молока в чашку.|Mother poured milk into the cup.
Дети вчера разбили две чашки.|The children broke 2 cups yesterday.
Она пришла на кухню с пустой чашкой.|She came into the kitchen with an empty cup.
Маша вернулась из Южной Кореи.|Masha came back from South Korea.
Сенатор поехал разговаривать с жителями южных штатов.|The senator went to talk with citizens of the southern states.
Южные районы Москвы мне не нравятся.|I don't like the southern districts of Moscow.
Я не люблю фисташковое мороженое.|I don't like pistachio ice-cream.
Петя пошёл в магазин за мороженым.|Petya went to the store to buy ice-cream.
Какой сорт мороженого ты любишь?|What kind of ice-cream do you like?
Синий автобус подъехал к остановке.|A blue bus came to the bus stop.
Мне нужны синие туфли и зелёная шляпа.|I need blue shoes and a green hat.
Синим карандашом Маша нарисовала облака, а жёлтым — солнце.|Masha drew clouds with blue pencil and the sun with a yellow one.
Мы ждём тебя в столовой. Приходи есть!|We’re waiting for you in the cafeteria. Come eat!
После уроков мы идём есть в столовую.|After classes we go to the cafeteria.
В нашем университете открылась новая столовая.|A new cafeteria opened at our university.
Я не кладу сахар в кофе.|I don’t put sugar in my coffee.
Я не пью чай без сахара.|I don't drink tea without sugar.
Дай мне красный карандаш.|Give me a red pencil.
Почему она пишет карандашом, а не ручкой?|Why is she writing with a pencil, and not with a pen?
Я потеряла три карандаша.|I lost 3 pencils.
Как я рад, что вы пришли!|I’m so glad that you came!
Мы всегда рады вас видеть.|We're always happy to see you.
Я так рада, что сегодня выходной!|I'm so happy that today is a day off.
Это магазин с разумными ценами.|This is a shop with reasonable prices.
Я думаю, что это разумная тактика. Так мы точно выиграем.|I think it’s a reasonable tactic. We’ll definitely win that way.
Разумных причин для такого решения не было.|There weren’t solid reasons for such a decision.
Средства массовых коммуникаций очень важны в современном мире.|Mass media is very important in the modern world.
Личное общение — мой любимый способ коммуникации.|Personal interaction is my favorite means of communication.
Фильм снят на деньги агентства по печати и массовым коммуникациям.|The movie was filmed with the help of money from the press and mass media agency.
Курс рубля продолжает падать.|The exchange rate of the rouble keeps falling.
Все ушли, но он продолжал петь.|Everybody already left but he kept singing.
Я не хочу продолжать здесь работать.|I don't want to continue working here.
Я люблю картошку со сметаной.|I like potatoes with sour cream.
У нас нет картошки. Надо купить!|We don’t have any potatoes We need to buy some!
Наташа пошла на рынок за картошкой.|Natasha went to the market to buy potatoes.
В Большой театр приехали звёзды мирового балета.|The stars of the ballet world came to the Bolshoi theatre.
Мы сегодня идём на балет в Мариинский театр.|We’re going to the Mariinsky theatre to watch a ballet tonight.
За год я посмотрел больше десяти балетов.|I have seen more than 10 ballets this year.
Тадж-Махал — шедевр архитектуры.|The Taj Mahal is an architectural masterpiece.
Мне очень нравится современная архитектура.|I really like modern architecture.
Он относится к архитектуре, как к искусству.|He treats architecture as art.
Этот художник очень талантливый.|This artist is very talented.
У меня очень талантливые внуки.|My grandchildren are very talented.
В чём секрет талантливого художника?|What is the secret to a talented artist?
Что у нас сегодня на ужин?|What are we having for dinner today?
Мы не успели на поезд и остались без ужина.|We were late for the train so we didn’t get dinner.
Папа будет дома к ужину.|Dad will be at home for dinner.
Какой национальности твои родители?|What is your parents’ nationality?
Нам неважно, какая у вас национальность.|It doesn’t matter for us what your nationality is.
На ужин собрались представители шести национальностей.|People of 6 nationalities gathered for the dinner.
Свет от лампы был очень ярким. |The light from the lamp was very bright.
Я хочу купить новую настольную лампу. |I want to buy a new desk lamp.
Лампа у меня на столе не работает.|The lamp on my desk doesn’t work.
Я не пришёл на прошлый урок биологии. |I didn’t come to the last biology class.
Моим любимым уроком в школе была биология. |Biology was my favorite subject at school.
Мой брат изучает биологию в университете. |My brother studies biology at the university.
Налей мне воды из чайника. |Pour me some water from the teapot.
Включи чайник, пожалуйста!|Turn on the tea kettle, please!
У моей бабушки дома коллекция чайников.|My grandmother has a collection of teapots at home.
В нашем городе построили завод переработки бытовых отходов.|A waste recycling plant was built in our city.
Перед выходом из дома отключайте от электричества все бытовые приборы!|Turn off all the household appliances before leaving home!
В соседнем доме произошёл взрыв бытового газа.|There was a gas explosion in the house next door.
Какие у тебя планы на эту пятницу?|What are your plans for this Friday?
Пятница — мой любимый день.|Friday is my favorite day.
Я должна купить новое платье до пятницы.|I have to buy a new dress by Friday.
Моя новая квартира дешевле старой.|My new apartment is cheaper than the old one.
Это самый дешёвый супермаркет в городе.|This is the cheapest supermarket in the city.
Эта сумка красивая и дешёвая. Беру!|This bag is beautiful and cheap. I’ll take it!
Какие фрукты растут у вас в саду?|What fruits grow in your garden?
Купи домой немного фруктов.|Buy some fruit to take home.
Это вино хорошо подходит к фруктам и сырам.|This wine goes well with fruit and cheese.
Что вы делаете в этот четверг?|What are you doing this Thursday?
По четвергам я хожу в бассейн.|I go to the swimming pool on Thursdays.
Меня не будет в городе до четверга.|I won’t be in the city until Thursday.
Мама попросила меня нарезать колбасы.|Mom asked me to cut up the sausage.
Настя забыла купить колбасу.|Nastya forgot to buy sausage.
Колбаса — вредный продукт.|Sausage is a product that is bad for your health.
Возьми мои часы с книжной полки.|Get my watch from off the bookshelf.
У правой стены стоял большой книжный шкаф.|A big bookcase stood next to the wall on the right.
Иван стал директором книжного издательства.|Ivan became the manager of a book publishing house.
Турнир по большому теннису прошёл на прошлой неделе в Москве.|The tennis tournament was held in Moscow last week.
Мама купила Паше новую форму для тенниса.|Mother bought Pasha a new tennis outfit.
Большой теннис — мой любимый вид спорта.|Tennis is my favorite sport.
Я потерял свой паспорт в отпуске.|I lost my passport when I was on vacation.
По паспорту ему сорок один год, но все говорят, что больше.|According to his passport he’s 41, but everybody says he's older.
Подойдите с паспортом в двадцать второй кабинет.|Go to room 22 with your passport.
Студенческий обед в столовой стоит сто двадцать рублей.|A student lunch at the cafeteria costs 120 roubles.
Они подошли к главному входу студенческого общежития.|They came to the main entrance of the student dormitory.
Он написал статью для сборника студенческих работ.|He wrote an article for an anthology of student works.
Какие овощи любят ваши дети?|What vegetables do your children like?
Мой муж умеет готовить только салат из овощей и яичницу.|The only things my husband knows how to make are vegetable salad and scrambled eggs.
Прошу вас, помогите мне!|I’m begging you to help me!
Олег просит совета у Кати.|Oleg asks for Katya’s advice.
Мой сын три дня просил у меня эту игрушку.|My son was asking me for that toy for 3 days.
Визы каких стран есть у тебя в паспорте?|Which countries do you have visas for in your passport?
В какие страны российские граждане могут въезжать без виз?|Which countries can Russians enter without a visa?
Ты уже подал документы на визу?|Have you already applied for the visa?
Мы поедем в театр на троллейбусе.|We'll go to the theatre by trolleybus.
По этой улице троллейбусы не ездят.|Trolleybuses don’t go down this street.
Пятого июля не будет движения троллейбусов по улице Ленина.|No trolleybuses will go along Lenin street on July 5th.
Я пошла в аптеку за парацетамолом.|I went to the pharmacy to buy paracetamol.
В этой аптеке нет моего лекарства.|They don’t have my medicine at this pharmacy.
Эта аптека сегодня не работает.|This pharmacy is closed today.
Я не люблю упражнения на грамматику.|I don't like grammar exercises.
Я забыла тетрадь с упражнениями дома. |I forgot my exercise book at home.
Ответы к упражнениям находятся в конце учебника. |The answers to the exercises are in the back of the book.
Его жена — домохозяйка.|His wife is a housewife.
Любимый сериал моей мамы — «Отчаянные домохозяйки».|My mom’s favorite TV series is «Desperate Housewives».
Здесь так красиво! Жаль, что у меня нет с собой фотоаппарата.|It's so beautiful here! It’s such a pity I don’t have my camera.
Все фотографии я сделала на профессиональный фотоаппарат.|I took all the photos with a professional camera.
Многие мои друзья купили фотоаппараты для работы.|Many of my friends have bought cameras for work.
Мой брат добрый, смелый и умный.|My brother is kind, brave and smart.
Пусть сбываются ваши самые смелые мечты!|Let all your wildest dreams come true!
Прыгнуть с парашютом — это очень смелая идея.|Skydiving is a very daring idea.
Катя купила в Таллине набор открыток.|Katya bought a set of postcards in Tallinn.
В магазине закончились открытки с днём рождения.|There are no more birthday cards in the shop.
Сколько стоит эта открытка?|How much does this postcard cost?
Я не люблю работать по ночам.|I don't like to work at night.
Моя сестра работает врачом.|My sister works as a doctor.
Где работают твои родители?|Where do your parents work?
Было очень холодно, и она укрылась шарфом.|It was very cold so she put on a scarf.
Мне было тепло в этом шерстяном шарфе.|I felt warm in that woolen scarf.
Мой новый шарф очень тёплый.|My new scarf is very warm.
Вы привозите сувениры из путешествий?|Do you bring home souvenirs from your travels?
Я не успела купить никаких сувениров в Греции.|I didn't have time to buy any souvenirs in Greece.
В последний день мы пошли за сувенирами.|On the last day we went souvenir shopping.
У меня нет коричневых сапог, а они мне так нужны к этой куртке.|I don't have any brown boots and I really need them with this jacket.
Я купила белую футболку с коричневыми полосками.|I bought a white T-shirt with brown stripes.
У Насти были длинные коричневые волосы и чёрные глаза.|Nastya had long brown hair and dark brown eyes.
Мы считаем, что они не уделяют ребёнку должного внимания.|We don't think that they pay enough attention to their child.
Я верю, что в нашем городе люди воспитаны должным образом.|I believe that people in our city are brought up properly.
Государство оказывает бедным семьям должную помощь.|The government gives proper help to families with low income.
Я не люблю разговаривать с незнакомыми людьми.|I don't like talking with strangers.
Мы вчера три часа разговаривали с коллегами после работы.|After work I spent 3 hours talking with my co-workers.
Он весь вечер ни с кем не разговаривал.|He didn’t talk to anybody the whole evening.
Как сделать хорошую фотографию?|How do you take a good photograph?
Каждый актёр сделал свою работу великолепно.|Every actor did an excellent job.
Они сделали большую ошибку, что пошли в тот клуб.|They made a big mistake when they went to that club.
Мальчик сидел на берегу и смотрел на море.|The boy was sitting on the shore and looking at the sea.
Петя заболел и сегодня сидит дома.|Petya got sick so today he is staying at home.
Мой ребёнок научился сидеть!|My baby learned how to sit!
Что он тебе сказал в тот вечер?|What did he tell you that night?
Я не знаю, как сказать это по-русски.|I don't know how to say that in Russian.
Зачем ты ему это сказала?|Why did you say that to him?
Андрей любит смотреть футбол.|Andrey likes to watch soccer.
Ты смотрел вчера матч Россия-Испания?|Did you watch the game between Russia and Spain yesterday?
Что Вася сейчас смотрит?|What is Vasya watching now?
Мы не смогли вчера прийти на лекцию.|We couldn’t come to the lecture yesterday.
